Designation,Class,ba/t,h/w
W1100x499,1,4.5,39.5
W1100x433,1,5.03,46.7
W1100x390,1,5.56,51.4
W1100x343,1,6.45,57.1
W1000x976,1,2.38,18.6
W1000x883,1,2.59,20.4
W1000x748,1,2.98,23.8
W1000x642,1,3.43,27.3
W1000x591,1,3.66,29.9
W1000x554,1,3.92,31.5
W1000x539,1,3.98,32.7
W1000x483,1,4.39,36.5
W1000x443,1,4.8,39.3
W1000x412,1,5.03,44
W1000x371,1,5.54,48.8
W1000x321,1,6.45,56.2
W1000x296,1,7.38,56.2
W1000x584,1,2.45,25.8
W1000x494,1,2.86,29.9
W1000x486,1,2.85,30.9
W1000x438,1,3.11,34.5
W1000x415,1,3.3,35.7
W1000x393,1,3.45,38
W1000x350,1,3.78,44
W1000x314,1,4.18,48.6
W1000x272,1,4.84,56.2
W1000x249,1,5.77,56.2
W1000x222,1,7.11,58
W920x1377,1,2.05,11.2
W920x1269,1,2,13.5
W920x1194,1,2.1,14.3
W920x1077,1,2.28,15.7
W920x970,1,2.48,17.3
W920x787,1,2.96,21.1
W920x725,1,3.19,22.6
W920x656,1,3.48,25
W920x588,1,3.82,27.8
W920x537,1,4.16,30.4
W920x491,1,4.49,33.3
W920x449,1,4.95,35.9
W920x420,1,5.29,38.4
W920x380,1,5.74,40.5
W920x368,1,6.11,42.5
W920x344,1,6.53,44.7
W920x381,1,3.53,35.4
W920x345,1,3.86,39.1
W920x313,1,4.48,40.9
W920x289,1,4.81,44.5
W920x271,1,5.12,46.9
W920x253,1,5.48,49.9
W920x238,1,5.89,52.3
W920x223,1,6.36,54.3
W920x201,1,7.56,56.8
W840x576,1,3.55,24.9
W840x527,1,3.85,27
W840x473,1,4.23,30.2
W840x433,1,4.6,32.7
W840x392,1,5.03,36.1
W840x359,1,5.66,37.8
W840x329,1,6.19,40.5
W840x299,1,6.85,43.8
W840x251,1,4.71,46.9
W840x226,1,5.49,49.5
W840x210,1,6,51.8
W840x193,1,6.73,54.2
W840x176,1,7.77,57
W760x582,1,3.19,20.8
W760x531,1,3.45,22.8
W760x484,1,3.74,24.8
W760x389,1,4.12,27.8
W760x350,1,4.59,30.5
W760x314,1,5.01,34.1
W760x284,1,5.75,36.5
W760x257,1,6.35,39.9
W760x257,1,7.03,43.3
W760x220,1,4.43,43.6
W760x195,1,5.28,46.1
W760x185,1,5.66,48.2
W760x173,1,6.18,49.9
W760x161,1,6.89,52.1
W760x147,1,7.79,54.5
W760x134,2,8.52,60.4
W690x802,1,2.15,12.9
W690x548,1,2.95,18.4
W690x500,1,3.19,20.2
W690x457,1,3.46,21.9
W690x419,1,3.71,24
W690x384,1,4.02,25.9
W690x350,1,4.4,28
W690x323,1,4.71,30.6
W690x289,1,5.24,34
W690x255,1,5.93,35.1
W690x240,1,6.5,38.5
W690x217,1,7.16,41.9
W690x192,1,4.55,41.7
W690x170,1,5.42,44.5
W690x152,1,6.02,49.3
W690x140,1,6.72,52.1
W690x125,1,7.76,55.2
W610x551,1,2.51,14.8
W610x498,1,2.72,16.3
W610x455,1,2.94,17.9
W610x415,1,3.18,19.4
W610x372,1,3.49,21.7
W610x341,1,3.79,23.5
W610x307,1,4.14,25.9
W610x285,1,4.43,27.8
W610x262,1,4.81,30.2
W610x241,1,5.31,32
W610x217,1,5.92,34.7
W610x195,1,6.7,37.2
W610x174,1,7.52,40.9
W610x155,2,8.53,45.1
W610x153,1,4.6,40.9
W610x140,1,5.18,43.7
W610x125,1,5.84,48.1
W610x113,1,6.59,51.2
W610x101,1,7.65,54.6
W610x82,1,5.97,52.6
W610x82,1,6.95,57.3
W530x409,1,2.94,16.2
W530x369,1,3.21,18
W530x332,1,3.54,19.8
W530x300,1,3.65,21.7
W530x272,1,4.22,23.8
W530x248,1,4.57,26.4
W530x219,1,5.45,27.4
W530x196,1,6.01,30.4
W530x182,1,6.45,33
W530x165,1,7.05,35.8
W530x150,1,7.68,39.6
W530x138,1,4.53,34.1
W530x123,1,5,38.3
W530x109,1,5.61,43.2
W530x101,1,6.03,46.1
W530x92,1,6.7,49.2
W530x82,2,7.86,52.8
W530x72,3,9.5,55.8
W530x85,1,5.03,48.7
W530x74,1,6.1,51.7
W530x66,1,7.24,56.4
W460x464,1,2.19,11.1
W460x421,1,2.38,12
W460x384,1,2.56,13.2
W460x349,1,2.76,14.5
W460x315,1,3.02,15.9
W460x286,1,3.28,17.5
W460x260,1,3.58,18.9
W460x235,1,3.92,20.8
W460x213,1,4.25,23.1
W460x193,1,4.64,25.2
W460x177,1,5.32,25.8
W460x158,1,5.94,28.5
W460x144,1,6.4,31.5
W460x129,1,7.19,36.1
W460x113,2,8.09,39.7
W460x106,1,4.71,34
W460x87,1,5.08,37.5
W460x89,1,5.42,40.7
W460x82,1,5.97,43.2
W460x74,1,6.55,47.6
W460x68,1,5,47.1
W460x60,1,5.75,53.6
W460x52,1,7.04,56.4
W410x149,1,5.3,25.6
W410x132,1,5.92,28.6
W410x114,1,6.76,32.9
W410x100,1,7.69,38.1
W410x85,1,4.97,34.9
W410x74,1,5.63,39.3
W410x67,1,6.22,43.3
W410x60,1,6.95,49.5
W410x54,2,8.12,50.8
W410x46,1,6.25,54.4
W410x39,2,7.95,59.6
W360x1299,1,1.7,3.2
W360x1202,1,1.81,3.37
W360x1086,1,1.82,4.09
W360x990,1,1.95,4.45
W360x900,1,2.06,4.84
W360x818,1,2.25,5.29
W360x744,1,2.43,5.76
W360x677,1,2.63,6.25
W360x634,1,2.75,6.72
W360x592,1,2.91,7.12
W360x551,1,3.09,7.61
W360x509,1,3.32,8.2
W360x463,1,3.59,8.94
W360x421,1,3.89,9.75
W360x382,1,4.23,10.7
W360x347,1,4.62,11.8
W360x314,1,5.06,12.8
W360x287,1,5.48,14.2
W360x262,1,5.98,15.2
W360x237,1,6.54,16.9
W360x216,1,7.11,18.5
W360x196,1,7.14,19.5
W360x179,1,7.8,21.3
