Designation,Class,ba/t,h/w,Dead Load (kN/m),Area (mmý),Ix (10^6 mm?),Sx (10^3 mm?),rx (mm),Zx (10^3 mm?),Iy (10^6 mm?),Sy (10^3 mm?),ry (mm),Zy (10^3 mm?),J (10^3 mm?),Cw (10^9 mm?),Nominal Mass (kg/m),Theoretical Mass (kg/m),Depth d (mm),Flange Width b (mm),Flange Thickness t (mm),Web Thickness w (mm),Distance a (mm),Distance T (mm),Distance k (mm),Distance k? (mm),d-2t (mm),Surface Area Total (mý/m),Surface Area Minus Top Flange (mý/m),Imperial Designation
W1100x499,1,4.5,39.5,4.89,63500,12900,23100,451,26600,500,2470,88.7,3870,31100,144,499,498.6,1118,405,45,26,190,965,77,43,1028,3.8,3.4,W44x335
W1100x433,1,5.03,46.7,4.24,55100,11300,20300,452,23200,434,2160,88.7,3360,21200,124,433,432.7,1108,402,40,22,190,965,72,41,1028,3.78,3.38,W44x290
W1100x390,1,5.56,51.4,3.83,49700,10100,18300,450,20800,385,1920,88,2990,15600,109,390,390.2,1100,400,36,20,190,965,68,40,1028,3.76,3.36,W44x262
W1100x343,1,6.45,57.1,3.36,43600,8670,15900,446,18100,331,1660,87.1,2570,10300,92.9,343,342.6,1090,400,31,18,191,965,63,39,1028,3.74,3.34,W44x230
W1000x976,1,2.38,18.6,9.56,124300,23500,42400,435,50300,1190,5540,97.7,8840,244000,307,976,974.5,1108,428,89.9,50,189,865,121,55,928,3.83,3.4,W40x655
W1000x883,1,2.59,20.4,8.66,112500,21000,38400,432,45300,1050,4950,96.6,7870,185000,268,883,883.4,1092,424,82,45.5,189,865,114,53,928,3.79,3.37,W40x593
W1000x748,1,2.98,23.8,7.34,95300,17300,32400,426,37900,851,4080,94.5,6460,116000,212,748,748.5,1068,417,70,39,189,865,102,50,928,3.73,3.31,W40x503
W1000x642,1,3.43,27.3,6.29,81800,14500,27700,421,32100,703,3410,92.7,5380,73800,172,642,641.9,1048,412,60,34,189,865,92,47,928,3.68,3.26,W40x431
W1000x591,1,3.66,29.9,5.79,75300,13300,25600,421,29500,640,3130,92.2,4920,59000,155,591,590.9,1040,409,55,31,189,865,87,46,928,3.65,3.25,W40x397
W1000x554,1,3.92,31.5,5.43,70600,12300,23900,418,27500,591,2900,91.5,4550,48300,142,554,554.1,1032,408,52,29.5,189,865,84,45,928,3.64,3.23,W40x372
W1000x539,1,3.98,32.7,5.29,68700,12000,23400,418,26800,576,2830,91.6,4440,45300,138,539,539.4,1030,407,51.1,28.4,189,865,83,44,928,3.61,3.22,W40x362
W1000x483,1,4.39,36.5,4.74,61500,10700,20900,417,23900,507,2510,90.8,3920,33100,120,483,482.9,1020,404,46,25.4,189,865,78,43,928,3.61,3.2,W40x324
W1000x443,1,4.8,39.3,4.34,56400,9670,19100,414,21800,455,2260,89.8,3530,25400,107,443,442.5,1012,402,41.9,23.6,189,865,73,42,928,3.58,3.18,W40x297
W1000x412,1,5.03,44,4.04,52500,9100,18100,416,20500,434,2160,90.9,3350,21400,102,412,412.2,1008,402,40,21.1,190,865,72,41,928,3.58,3.18,W40x277
W1000x371,1,5.54,48.8,3.64,47300,8140,16300,415,18400,386,1930,90.3,2980,15900,89.6,371,371.2,1000,400,36.1,19,191,865,68,40,928,3.56,3.16,W40x249
W1000x321,1,6.45,56.2,3.15,40800,6960,14100,413,15800,331,1660,90,2550,10300,76.1,321,320.9,990,400,31,16.5,192,865,63,38,928,3.55,3.15,W40x215
W1000x296,1,7.38,56.2,2.91,37700,6200,12600,405,14300,290,1450,87.6,2240,7840,66,296,296.4,982,400,27.1,16.5,192,865,59,38,928,3.53,3.13,W40x199
W1000x584,1,2.45,25.8,5.73,74400,12500,23600,409,28000,334,2130,67,3470,71500,82.2,584,583.8,1056,314,64,36,139,865,96,48,928,3.3,2.98,W40x392
W1000x494,1,2.86,29.9,4.84,62900,10300,19900,404,23400,268,1740,65.3,2820,44000,64.7,494,493.9,1036,309,54,31,139,865,86,46,928,3.25,2.94,W40x331
W1000x486,1,2.85,30.9,4.77,61900,10200,19700,406,23200,266,1730,65.5,2790,42900,64.1,486,486.2,1036,308,54.1,30,139,865,86,45,928,3.24,2.94,W40x327
W1000x438,1,3.11,34.5,4.28,55600,9090,17700,404,20700,234,1530,64.8,2460,31800,55.7,438,436.7,1026,305,49,26.9,139,865,81,43,928,3.22,2.91,W40x294
