Designation,Class,ba/t,h/w,Dead Load (kN/m),Area (mmý),Ix (10^6 mm?),Sx (10^3 mm?),rx (mm),Zx (10^3 mm?),Iy (10^6 mm?),Sy (10^3 mm?),ry (mm),Zy (10^3 mm?),J (10^3 mm?),Cw (10^9 mm?),Nominal Mass (kg/m),Theoretical Mass (kg/m),Depth d (mm),Flange Width b (mm),Flange Thickness t (mm),Web Thickness w (mm),Distance a (mm),Distance T (mm),Distance k (mm),Distance k? (mm),d-2t (mm),Surface Area Total (mý/m),Surface Area Minus Top Flange (mý/m),Imperial Designation
W1100x499,1,4.5,39.5,4.89,63500.0,12900.0,23100.0,451.0,26600.0,500.0,2470.0,88.7,3870.0,31100.0,144.0,499.0,498.6,1118.0,405.0,45.0,26.0,190.0,965.0,77.0,43.0,1028.0,3.8,3.4,W44x335
W1100x433,1,5.03,46.7,4.24,55100.0,11300.0,20300.0,452.0,23200.0,434.0,2160.0,88.7,3360.0,21200.0,124.0,433.0,432.7,1108.0,402.0,40.0,22.0,190.0,965.0,72.0,41.0,1028.0,3.78,3.38,W44x290
W1100x390,1,5.56,51.4,3.83,49700.0,10100.0,18300.0,450.0,20800.0,385.0,1920.0,88.0,2990.0,15600.0,109.0,390.0,390.2,1100.0,400.0,36.0,20.0,190.0,965.0,68.0,40.0,1028.0,3.76,3.36,W44x262
W1100x343,1,6.45,57.1,3.36,43600.0,8670.0,15900.0,446.0,18100.0,331.0,1660.0,87.1,2570.0,10300.0,92.9,343.0,342.6,1090.0,400.0,31.0,18.0,191.0,965.0,63.0,39.0,1028.0,3.74,3.34,W44x230
W1000x976,1,2.38,18.6,9.56,124300.0,23500.0,42400.0,435.0,50300.0,1190.0,5540.0,97.7,8840.0,244000.0,307.0,976.0,974.5,1108.0,428.0,89.9,50.0,189.0,865.0,121.0,55.0,928.0,3.83,3.4,W40x655
W1000x883,1,2.59,20.4,8.66,112500.0,21000.0,38400.0,432.0,45300.0,1050.0,4950.0,96.6,7870.0,185000.0,268.0,883.0,883.4,1092.0,424.0,82.0,45.5,189.0,865.0,114.0,53.0,928.0,3.79,3.37,W40x593
W1000x748,1,2.98,23.8,7.34,95300.0,17300.0,32400.0,426.0,37900.0,851.0,4080.0,94.5,6460.0,116000.0,212.0,748.0,748.5,1068.0,417.0,70.0,39.0,189.0,865.0,102.0,50.0,928.0,3.73,3.31,W40x503
W1000x642,1,3.43,27.3,6.29,81800.0,14500.0,27700.0,421.0,32100.0,703.0,3410.0,92.7,5380.0,73800.0,172.0,642.0,641.9,1048.0,412.0,60.0,34.0,189.0,865.0,92.0,47.0,928.0,3.68,3.26,W40x431
W1000x591,1,3.66,29.9,5.79,75300.0,13300.0,25600.0,421.0,29500.0,640.0,3130.0,92.2,4920.0,59000.0,155.0,591.0,590.9,1040.0,409.0,55.0,31.0,189.0,865.0,87.0,46.0,928.0,3.65,3.25,W40x397
W1000x554,1,3.92,31.5,5.43,70600.0,12300.0,23900.0,418.0,27500.0,591.0,2900.0,91.5,4550.0,48300.0,142.0,554.0,554.1,1032.0,408.0,52.0,29.5,189.0,865.0,84.0,45.0,928.0,3.64,3.23,W40x372
W1000x539,1,3.98,32.7,5.29,68700.0,12000.0,23400.0,418.0,26800.0,576.0,2830.0,91.6,4440.0,45300.0,138.0,539.0,539.4,1030.0,407.0,51.1,28.4,189.0,865.0,83.0,44.0,928.0,3.61,3.22,W40x362
W1000x483,1,4.39,36.5,4.74,61500.0,10700.0,20900.0,417.0,23900.0,507.0,2510.0,90.8,3920.0,33100.0,120.0,483.0,482.9,1020.0,404.0,46.0,25.4,189.0,865.0,78.0,43.0,928.0,3.61,3.2,W40x324
W1000x443,1,4.8,39.3,4.34,56400.0,9670.0,19100.0,414.0,21800.0,455.0,2260.0,89.8,3530.0,25400.0,107.0,443.0,442.5,1012.0,402.0,41.9,23.6,189.0,865.0,73.0,42.0,928.0,3.58,3.18,W40x297
W1000x412,1,5.03,44.0,4.04,52500.0,9100.0,18100.0,416.0,20500.0,434.0,2160.0,90.9,3350.0,21400.0,102.0,412.0,412.2,1008.0,402.0,40.0,21.1,190.0,865.0,72.0,41.0,928.0,3.58,3.18,W40x277
W1000x371,1,5.54,48.8,3.64,47300.0,8140.0,16300.0,415.0,18400.0,386.0,1930.0,90.3,2980.0,15900.0,89.6,371.0,371.2,1000.0,400.0,36.1,19.0,191.0,865.0,68.0,40.0,928.0,3.56,3.16,W40x249
W1000x321,1,6.45,56.2,3.15,40800.0,6960.0,14100.0,413.0,15800.0,331.0,1660.0,90.0,2550.0,10300.0,76.1,321.0,320.9,990.0,400.0,31.0,16.5,192.0,865.0,63.0,38.0,928.0,3.55,3.15,W40x215
W1000x296,1,7.38,56.2,2.91,37700.0,6200.0,12600.0,405.0,14300.0,290.0,1450.0,87.6,2240.0,7840.0,66.0,296.0,296.4,982.0,400.0,27.1,16.5,192.0,865.0,59.0,38.0,928.0,3.53,3.13,W40x199
