Designation,Area_mm2,t_mm,w_mm,d_mm,b_mm,rx_mm,ry_mm
C380x74,9480.0,16.5,18.2,381.0,94.0,133.0,22.0
C380x60,7570.0,16.5,13.2,381.0,89.0,138.0,22.5
C380x50,6430.0,16.5,10.2,381.0,86.0,143.0,23.0
C310x45,5690.0,12.7,13.0,305.0,80.0,109.0,19.3
C310x37,4720.0,12.7,9.8,305.0,77.0,113.0,19.8
C310x31,3920.0,12.7,7.2,305.0,74.0,117.0,20.1
C250x45,5670.0,11.1,17.1,254.0,76.0,86.9,16.8
C250x37,4750.0,11.1,13.4,254.0,73.0,89.4,17.1
C250x30,3780.0,11.1,9.6,254.0,69.0,93.0,17.5
C250x23,2880.0,11.1,6.1,254.0,65.0,98.2,17.900000000000002
C230x30,3800.0,10.5,11.4,229.0,67.0,81.9,16.3
C230x22,2840.0,10.5,7.2,229.0,63.0,86.60000000000001,16.8
C230x20,2530.0,10.5,5.9,229.0,61.0,88.60000000000001,16.8
C200x28,3560.0,9.9,12.4,203.0,64.0,71.60000000000001,15.200000000000001
C200x21,2600.0,9.9,7.7,203.0,59.0,75.8,15.5
C200x17,2170.0,9.9,5.6,203.0,57.0,78.7,15.8
C180x22,2780.0,9.3,10.6,178.0,58.0,63.7,14.3
C180x18,2310.0,9.3,8.0,178.0,55.0,65.9,14.3
C180x15,1850.0,9.3,5.3,178.0,53.0,69.3,14.8
C150x19,2450.0,8.7,11.1,152.0,54.0,53.900000000000006,13.200000000000001
C150x16,1980.0,8.7,8.0,152.0,51.0,56.1,13.3
C150x12,1530.0,8.7,5.1,152.0,48.0,59.1,13.5
C130x13,1690.0,8.1,8.3,127.0,47.0,46.5,12.200000000000001
C130x10,1260.0,8.1,4.8,127.0,44.0,49.5,12.4
C100x11,1370.0,7.5,8.2,102.0,43.0,37.300000000000004,11.3
C100x9,1190.0,7.5,6.3,102.0,42.0,38.5,11.5
C100x8,1020.0,7.5,4.7,102.0,40.0,39.7,11.4
C100x7,877.0,7.5,3.2,102.0,39.0,41.300000000000004,11.4
C75x9,1120.0,6.9,9.0,76.0,40.0,27.400000000000002,10.5
C75x7,934.0,6.9,6.6,76.0,37.0,28.3,10.100000000000001
C75x6,763.0,6.9,4.3,76.0,35.0,29.6,10.100000000000001
C75x5,707.0,6.9,3.4,76.0,35.0,30.400000000000002,10.200000000000001
MC460x86,11000.0,15.9,17.8,457.0,107.0,160.0,25.8
MC460x77.2,9840.0,15.9,15.2,457.0,104.0,163.0,26.3
MC460x68.2,8680.0,15.9,12.7,457.0,102.0,166.0,26.700000000000003
MC460x63.5,8100.0,15.9,11.4,457.0,100.0,169.0,27.1
MC330x74,9480.0,15.5,20.0,330.0,112.0,117.0,26.8
MC330x60,7560.0,15.5,14.2,330.0,106.0,122.0,27.3
MC330x52,6640.0,15.5,11.4,330.0,103.0,126.0,27.8
MC330x47.3,6020.0,15.5,9.5,330.0,102.0,128.0,27.900000000000002
MC310x74,9500.0,17.8,21.2,305.0,105.0,109.0,27.700000000000003
MC310x67,8520.0,17.8,18.0,305.0,102.0,111.0,27.700000000000003
MC310x60,7570.0,17.8,15.0,305.0,98.0,113.0,27.6
MC310x52,6630.0,17.8,11.8,305.0,96.0,117.0,28.200000000000003
MC310x46,5890.0,17.8,9.4,305.0,93.0,120.0,28.200000000000003
MC310x21.3,2720.0,8.0,6.4,305.0,54.0,108.0,12.3
MC310x15.8,1990.0,7.8,4.8,305.0,38.0,107.0,8.88
MC250x61.2,7800.0,14.6,20.2,254.0,110.0,91.80000000000001,29.0
MC250x50,6370.0,14.6,14.6,254.0,104.0,95.30000000000001,29.200000000000003
MC250x42.4,5400.0,14.6,10.8,254.0,100.0,98.7,29.400000000000002
MC250x37,4710.0,14.6,9.7,254.0,86.0,98.2,25.3
MC250x33,4130.0,14.6,7.4,254.0,84.0,101.0,25.400000000000002
MC250x12.5,1580.0,7.1,4.3,254.0,38.0,91.60000000000001,9.28
MC250x9.7,1250.0,5.1,3.9,254.0,28.0,86.4,6.4
MC230x37.8,4800.0,14.0,11.4,229.0,88.0,87.30000000000001,25.3
MC230x35.6,4510.0,14.0,10.2,229.0,87.0,88.4,25.3
MC200x33.9,4280.0,13.3,10.8,203.0,88.0,78.30000000000001,25.6
MC200x31.8,4020.0,13.3,9.5,203.0,87.0,79.4,25.700000000000003
MC200x29.8,3770.0,12.7,10.2,203.0,76.0,77.10000000000001,21.700000000000003
MC200x27.8,3520.0,12.7,9.0,203.0,75.0,78.2,21.700000000000003
MC200x12.6,1590.0,7.9,4.5,203.0,47.0,77.4,12.5
MC180x33.8,4290.0,12.7,12.8,178.0,91.0,67.8,26.1
MC180x28.4,3600.0,12.7,8.9,178.0,87.0,70.5,26.0
MC150x26.8,3390.0,12.1,9.6,152.0,88.0,60.0,26.400000000000002
MC150x22.8,2880.0,9.8,8.6,152.0,88.0,60.2,26.3
MC150x24.3,3090.0,12.1,9.5,152.0,76.0,59.1,22.5
MC150x22.5,2830.0,12.1,8.0,152.0,74.0,60.1,22.1
MC150x17.9,2280.0,9.5,7.9,152.0,63.0,58.300000000000004,18.400000000000002
MC150x10.4,1340.0,7.4,4.5,152.0,48.0,59.400000000000006,13.700000000000001
MC150x9.7,1250.0,7.4,3.9,152.0,47.0,60.300000000000004,13.700000000000001
MC100x20.5,2650.0,13.0,13.0,102.0,64.0,37.7,18.2
MC75x10.6,1350.0,8.9,7.9,76.0,49.0,28.900000000000002,14.3
