Designation,Area_mm2,rx_mm,ry_s0_mm
2LE254x254x32,30300.0,77.30000000000001,108.0
2LE254x254x29,27400.0,77.7,107.0
2LE254x254x25,24500.0,78.2,107.0
2LE254x254x22,21600.0,78.60000000000001,106.0
2LE254x254x19,18700.0,79.10000000000001,106.0
2LE203x203x29,21600.0,61.400000000000006,86.7
2LE203x203x25,19300.0,61.800000000000004,86.2
2LE203x203x22,17000.0,62.2,85.7
2LE203x203x19,14700.0,62.7,85.2
2LE203x203x16,12400.0,63.1,84.80000000000001
2LE203x203x14,11200.0,63.300000000000004,84.60000000000001
2LE203x203x13,9990.0,63.6,84.4
2LE152x152x25,14200.0,45.5,65.60000000000001
2LE152x152x22,12500.0,45.900000000000006,65.0
2LE152x152x19,10800.0,46.300000000000004,64.5
2LE152x152x16,9160.0,46.7,64.10000000000001
2LE152x152x14,8290.0,46.900000000000006,63.800000000000004
2LE152x152x13,7400.0,47.1,63.6
2LE152x152x11,6500.0,47.400000000000006,63.400000000000006
2LE152x152x9.5,5610.0,47.6,63.2
2LE152x152x7.9,4700.0,47.800000000000004,63.0
2LE127x127x22,10300.0,37.9,55.0
2LE127x127x19,8930.0,38.300000000000004,54.400000000000006
2LE127x127x16,7570.0,38.7,53.900000000000006
2LE127x127x13,6130.0,39.1,53.400000000000006
2LE127x127x11,5390.0,39.300000000000004,53.2
2LE127x127x9.5,4660.0,39.5,53.0
2LE127x127x7.9,3910.0,39.800000000000004,52.800000000000004
2LE102x102x19,7030.0,30.3,44.300000000000004
2LE102x102x16,5980.0,30.700000000000003,43.800000000000004
2LE102x102x13,4860.0,31.1,43.300000000000004
2LE102x102x11,4280.0,31.3,43.0
2LE102x102x9.5,3710.0,31.5,42.800000000000004
2LE102x102x7.9,3110.0,31.700000000000003,42.6
2LE102x102x6.4,2510.0,31.900000000000002,42.400000000000006
2LE89x89x13,4190.0,26.900000000000002,38.0
2LE89x89x11,3700.0,27.1,37.7
2LE89x89x9.5,3210.0,27.3,37.5
2LE89x89x7.9,2700.0,27.5,37.300000000000004
2LE89x89x6.4,2180.0,27.700000000000003,37.0
2LE76x76x13,3550.0,22.8,32.9
2LE76x76x11,3140.0,23.0,32.6
2LE76x76x9.5,2720.0,23.200000000000003,32.300000000000004
2LE76x76x7.9,2290.0,23.400000000000002,32.1
2LE76x76x6.4,1850.0,23.6,31.900000000000002
2LE76x76x4.8,1410.0,23.900000000000002,31.700000000000003
2LE64x64x13,2900.0,18.8,27.8
2LE64x64x9.5,2240.0,19.1,27.200000000000003
2LE64x64x7.9,1890.0,19.3,27.0
2LE64x64x6.4,1530.0,19.5,26.700000000000003
2LE64x64x4.8,1160.0,19.8,26.5
2LE51x51x9.5,1750.0,15.100000000000001,22.1
2LE51x51x7.9,1490.0,15.3,21.8
2LE51x51x6.4,1210.0,15.5,21.6
2LE51x51x4.8,922.0,15.700000000000001,21.3
2LE51x51x3.2,626.0,15.9,21.1
2LE44x44x6.4,1050.0,13.4,19.0
2LE44x44x4.8,802.0,13.700000000000001,18.8
2LE44x44x3.2,546.0,13.9,18.5
2LE38x38x6.4,887.0,11.4,16.400000000000002
2LE38x38x4.8,680.0,11.600000000000001,16.2
2LE38x38x4.0,574.0,11.700000000000001,16.1
2LE38x38x3.2,464.0,11.8,15.9
2LE32x32x6.4,727.0,9.4,13.9
2LE32x32x4.8,560.0,9.58,13.600000000000001
2LE32x32x3.2,384.0,9.790000000000001,13.4
2LE25x25x6.4,565.0,7.37,11.3
2LE25x25x4.8,438.0,7.54,11.0
2LE25x25x3.2,303.0,7.73,10.8
2LE19x19x3.2,223.0,5.72,8.24
2LL203x152x25,16700.0,63.300000000000004,60.6
2LL203x152x22,14800.0,63.7,60.1
2LL203x152x19,12800.0,64.10000000000001,59.6
2LL203x152x16,10800.0,64.60000000000001,59.1
2LL203x152x14,9740.0,64.8,58.900000000000006
2LL203x152x13,8690.0,65.0,58.7
2LL203x152x11,7630.0,65.3,58.5
2LL203x102x25,14200.0,63.800000000000004,37.4
2LL203x102x22,12600.0,64.3,36.800000000000004
2LL203x102x19,10900.0,64.7,36.300000000000004
2LL203x102x16,9190.0,65.2,35.800000000000004
2LL203x102x14,8310.0,65.4,35.5
2LL203x102x13,7420.0,65.7,35.300000000000004
2LL203x102x11,6520.0,65.9,35.1
2LL178x102x19,9920.0,56.400000000000006,37.800000000000004
2LL178x102x16,8400.0,56.800000000000004,37.300000000000004
2LL178x102x13,6790.0,57.300000000000004,36.800000000000004
2LL178x102x11,5970.0,57.5,36.6
2LL178x102x9.5,5160.0,57.800000000000004,36.4
2LL152x102x22,10300.0,47.2,40.2
2LL152x102x19,8930.0,47.6,39.7
2LL152x102x16,7570.0,48.0,39.2
2LL152x102x14,6860.0,48.2,38.900000000000006
2LL152x102x13,6130.0,48.5,38.7
2LL152x102x11,5390.0,48.7,38.5
2LL152x102x9.5,4660.0,48.900000000000006,38.300000000000004
2LL152x102x7.9,3910.0,49.2,38.1
2LL152x89x13,5800.0,48.6,32.5
2LL152x89x9.5,4410.0,49.1,32.1
2LL152x89x7.9,3700.0,49.300000000000004,31.900000000000002
2LL127x89x19,7480.0,39.300000000000004,35.4
2LL127x89x16,6360.0,39.7,34.9
2LL127x89x13,5160.0,40.1,34.4
2LL127x89x9.5,3930.0,40.6,33.9
2LL127x89x7.9,3300.0,40.800000000000004,33.7
2LL127x89x6.4,2660.0,41.0,33.5
2LL127x76x13,4840.0,40.300000000000004,28.400000000000002
2LL127x76x11,4260.0,40.6,28.200000000000003
2LL127x76x9.5,3690.0,40.800000000000004,27.900000000000002
2LL127x76x7.9,3100.0,41.0,27.700000000000003
2LL127x76x6.4,2500.0,41.2,27.5
2LL102x89x13,4530.0,31.5,36.6
2LL102x89x9.5,3460.0,31.900000000000002,36.1
2LL102x89x7.9,2910.0,32.1,35.9
2LL102x89x6.4,2340.0,32.300000000000004,35.7
2LL102x76x16,5160.0,31.400000000000002,30.900000000000002
2LL102x76x13,4200.0,31.8,30.3
2LL102x76x9.5,3210.0,32.2,29.8
2LL102x76x7.9,2700.0,32.4,29.6
2LL102x76x6.4,2180.0,32.7,29.400000000000002
2LL89x76x13,3870.0,27.3,31.5
2LL89x76x11,3420.0,27.5,31.3
2LL89x76x9.5,2970.0,27.700000000000003,31.0
2LL89x76x7.9,2500.0,27.900000000000002,30.8
2LL89x76x6.4,2020.0,28.1,30.6
2LL89x64x13,3550.0,27.6,25.3
2LL89x64x9.5,2720.0,28.0,24.8
2LL89x64x7.9,2290.0,28.200000000000003,24.5
2LL89x64x6.4,1850.0,28.400000000000002,24.3
2LL76x64x13,3230.0,23.200000000000003,26.400000000000002
2LL76x64x11,2850.0,23.400000000000002,26.200000000000003
2LL76x64x9.5,2480.0,23.6,25.900000000000002
2LL76x64x7.9,2090.0,23.8,25.700000000000003
2LL76x64x6.4,1690.0,24.0,25.400000000000002
2LL76x64x4.8,1280.0,24.200000000000003,25.200000000000003
2LL76x51x13,2900.0,23.5,20.3
2LL76x51x9.5,2240.0,23.900000000000002,19.700000000000003
2LL76x51x7.9,1890.0,24.1,19.5
2LL76x51x6.4,1530.0,24.3,19.200000000000003
2LL76x51x4.8,1160.0,24.5,19.0
2LL64x51x9.5,2000.0,19.5,20.8
2LL64x51x7.9,1690.0,19.700000000000003,20.5
2LL64x51x6.4,1370.0,19.900000000000002,20.3
2LL64x51x4.8,1040.0,20.1,20.1
2LL64x38x6.4,1210.0,20.200000000000003,14.200000000000001
2LL64x38x4.8,922.0,20.400000000000002,14.0
2LL51x38x6.4,1050.0,15.8,15.200000000000001
2LL51x38x4.8,801.0,16.0,14.9
2LL51x38x3.2,545.0,16.3,14.700000000000001
2LS203x152x25,16700.0,43.7,92.4
2LS203x152x22,14800.0,44.1,91.9
2LS203x152x19,12800.0,44.5,91.4
2LS203x152x16,10800.0,44.900000000000006,90.9
2LS203x152x14,9740.0,45.2,90.6
2LS203x152x13,8690.0,45.400000000000006,90.4
2LS203x152x11,7630.0,45.6,90.1
2LS203x102x25,14200.0,26.3,100.0
2LS203x102x22,12600.0,26.6,99.5
2LS203x102x19,10900.0,26.900000000000002,98.9
2LS203x102x16,9190.0,27.3,98.3
2LS203x102x14,8310.0,27.400000000000002,98.0
2LS203x102x13,7420.0,27.6,97.8
2LS203x102x11,6520.0,27.900000000000002,97.5
2LS178x102x19,9920.0,27.700000000000003,85.1
2LS178x102x16,8400.0,28.1,84.5
2LS178x102x13,6790.0,28.5,84.0
2LS178x102x11,5970.0,28.700000000000003,83.7
2LS178x102x9.5,5160.0,28.900000000000002,83.4
2LS152x102x22,10300.0,28.200000000000003,71.5
2LS152x102x19,8930.0,28.6,70.9
2LS152x102x16,7570.0,28.900000000000002,70.3
2LS152x102x14,6860.0,29.1,70.1
2LS152x102x13,6130.0,29.3,69.8
2LS152x102x11,5390.0,29.6,69.5
2LS152x102x9.5,4660.0,29.8,69.3
2LS152x102x7.9,3910.0,30.0,69.0
2LS152x89x13,5800.0,24.700000000000003,71.7
2LS152x89x9.5,4410.0,25.1,71.2
2LS152x89x7.9,3700.0,25.3,70.9
2LS127x89x19,7480.0,24.8,59.2
2LS127x89x16,6360.0,25.200000000000003,58.7
2LS127x89x13,5160.0,25.6,58.1
2LS127x89x9.5,3930.0,26.0,57.6
2LS127x89x7.9,3300.0,26.200000000000003,57.4
2LS127x89x6.4,2660.0,26.400000000000002,57.1
2LS127x76x13,4840.0,21.1,60.0
2LS127x76x11,4260.0,21.3,59.7
2LS127x76x9.5,3690.0,21.5,59.5
2LS127x76x7.9,3100.0,21.700000000000003,59.2
2LS127x76x6.4,2500.0,21.900000000000002,58.9
2LS102x89x13,4530.0,26.400000000000002,44.8
2LS102x89x9.5,3460.0,26.8,44.3
2LS102x89x7.9,2910.0,27.1,44.1
2LS102x89x6.4,2340.0,27.3,43.8
2LS102x76x16,5160.0,21.6,47.0
2LS102x76x13,4200.0,21.900000000000002,46.5
2LS102x76x9.5,3210.0,22.3,45.9
2LS102x76x7.9,2700.0,22.5,45.7
2LS102x76x6.4,2180.0,22.700000000000003,45.4
2LS89x76x13,3870.0,22.400000000000002,39.5
2LS89x76x11,3420.0,22.6,39.2
2LS89x76x9.5,2970.0,22.8,39.0
2LS89x76x7.9,2500.0,23.0,38.7
2LS89x76x6.4,2020.0,23.200000000000003,38.5
2LS89x64x13,3550.0,17.900000000000002,41.2
2LS89x64x9.5,2720.0,18.3,40.6
2LS89x64x7.9,2290.0,18.5,40.4
2LS89x64x6.4,1850.0,18.7,40.1
2LS76x64x13,3230.0,18.3,34.4
2LS76x64x11,2850.0,18.5,34.1
2LS76x64x9.5,2480.0,18.7,33.8
2LS76x64x7.9,2090.0,18.900000000000002,33.6
2LS76x64x6.4,1690.0,19.1,33.3
2LS76x64x4.8,1280.0,19.3,33.1
2LS76x51x13,2900.0,13.9,36.2
2LS76x51x9.5,2240.0,14.200000000000001,35.6
2LS76x51x7.9,1890.0,14.4,35.3
2LS76x51x6.4,1530.0,14.600000000000001,35.0
2LS76x51x4.8,1160.0,14.8,34.8
2LS64x51x9.5,2000.0,14.600000000000001,28.7
2LS64x51x7.9,1690.0,14.8,28.5
2LS64x51x6.4,1370.0,15.0,28.2
2LS64x51x4.8,1040.0,15.200000000000001,28.0
2LS64x38x6.4,1210.0,10.5,30.0
2LS64x38x4.8,922.0,10.700000000000001,29.7
2LS51x38x6.4,1050.0,11.0,23.1
2LS51x38x4.8,801.0,11.200000000000001,22.9
2LS51x38x3.2,545.0,11.4,22.6
