Designation,Class,ba/t,h/w,Area,Ix,Sx,rx,Zx,Iy,Sy,ry,Zy,J,Cw,d,b,t,w,k
HSS610x305x25,,8.0,20.0,42200.0,1910.0,6270.0,213.0,7990.0,639.0,4190.0,123.0,4900.0,1600000.0,,609.6,304.8,25.4,25.4,
HSS610x305x22,,9.71,23.43,37400.0,1720.0,5650.0,215.0,7150.0,580.0,3800.0,124.0,4390.0,1440000.0,,609.6,304.8,22.23,22.23,
HSS610x305x19,,12.0,28.0,32500.0,1520.0,4990.0,216.0,6260.0,514.0,3380.0,126.0,3860.0,1260000.0,,609.6,304.8,19.05,19.05,
HSS508x305x25,,8.0,16.0,37000.0,1200.0,4740.0,180.0,5980.0,538.0,3530.0,121.0,4180.0,1240000.0,,508.0,304.8,25.4,25.4,
HSS508x305x22,,9.71,18.86,32900.0,1090.0,4290.0,182.0,5360.0,489.0,3210.0,122.0,3760.0,1120000.0,,508.0,304.8,22.23,22.23,
HSS508x305x19,,12.0,22.67,28600.0,965.0,3800.0,184.0,4710.0,435.0,2860.0,123.0,3300.0,982000.0,,508.0,304.8,19.05,19.05,
HSS508x305x16,,15.2,28.0,24100.0,831.0,3270.0,186.0,4020.0,376.0,2470.0,125.0,2820.0,838000.0,,508.0,304.8,15.88,15.88,
HSS406x305x22,,9.71,14.29,28400.0,626.0,3080.0,149.0,3810.0,399.0,2620.0,119.0,3120.0,807000.0,,406.4,304.8,22.23,22.23,
HSS406x305x19,,12.0,17.33,24700.0,557.0,2740.0,150.0,3350.0,356.0,2340.0,120.0,2750.0,711000.0,,406.4,304.8,19.05,19.05,
HSS406x305x16,,15.2,21.6,20900.0,482.0,2370.0,152.0,2870.0,309.0,2030.0,122.0,2360.0,608000.0,,406.4,304.8,15.88,15.88,
HSS406x305x13,,20.0,28.0,17000.0,400.0,1970.0,153.0,2360.0,257.0,1690.0,123.0,1940.0,499000.0,,406.4,304.8,12.7,12.7,
HSS356x254x19,,9.33,14.67,20800.0,348.0,1960.0,129.0,2430.0,205.0,1620.0,99.2,1920.0,428000.0,,355.6,254.0,19.05,19.05,
HSS356x254x16,,12.0,18.4,17700.0,303.0,1700.0,131.0,2090.0,179.0,1410.0,101.0,1660.0,368000.0,,355.6,254.0,15.88,15.88,
HSS356x254x13,,16.0,24.0,14400.0,253.0,1420.0,132.0,1730.0,150.0,1180.0,102.0,1370.0,304000.0,,355.6,254.0,12.7,12.7,
HSS305x203x16,,8.8,15.19,14500.0,174.0,1140.0,110.0,1430.0,92.2,907.0,79.80000000000001,1080.0,200000.0,,304.8,203.2,15.88,15.88,
HSS305x203x13,,12.0,20.0,11800.0,147.0,964.0,111.0,1190.0,78.2,769.0,81.2,897.0,167000.0,,304.8,203.2,12.7,12.7,
HSS305x203x9.5,,17.32,27.98,9090.0,116.0,762.0,113.0,926.0,62.1,611.0,82.7,701.0,130000.0,,304.8,203.2,9.53,9.53,
HSS305x203x7.9,,21.59,34.39,7650.0,99.3,652.0,114.0,786.0,53.2,524.0,83.4,596.0,110000.0,,304.8,203.2,7.94,7.94,
HSS305x203x6.4,,28.0,44.0,6190.0,81.5,535.0,115.0,640.0,43.8,431.0,84.10000000000001,486.0,89700.0,,304.8,203.2,6.35,6.35,
