Designation,Class,ba/t,h/w,Area,Ix,Sx,rx,Zx,Iy,Sy,ry,Zy,J,Cw,d,b,t,w,k
HSS711x25,,,28.0,54700.0,3220.0,9060.0,243.0,12000.0,3220.0,9060.0,243.0,12000.0,6440000.0,,711.2,,25.4,25.4,
HSS711x19,,,37.33,41400.0,2480.0,6980.0,245.0,9130.0,2480.0,6980.0,245.0,9130.0,4960000.0,,711.2,,19.05,19.05,
HSS711x13,,,56.0,27900.0,1700.0,4780.0,247.0,6200.0,1700.0,4780.0,247.0,6200.0,3400000.0,,711.2,,12.7,12.7,
HSS610x25,,,24.0,46600.0,1990.0,6540.0,207.0,8670.0,1990.0,6540.0,207.0,8670.0,3990000.0,,609.6,,25.4,25.4,
HSS610x19,,,32.0,35300.0,1540.0,5060.0,209.0,6650.0,1540.0,5060.0,209.0,6650.0,3080000.0,,609.6,,19.05,19.05,
HSS610x13,,,48.0,23800.0,1060.0,3480.0,211.0,4530.0,1060.0,3480.0,211.0,4530.0,2120000.0,,609.6,,12.7,12.7,
HSS610x9.5,,,63.97,18000.0,809.0,2650.0,212.0,3430.0,809.0,2650.0,212.0,3430.0,1620000.0,,609.6,,9.53,9.53,
HSS508x25,,,20.0,38500.0,1120.0,4430.0,171.0,5920.0,1120.0,4430.0,171.0,5920.0,2250000.0,,508.0,,25.4,25.4,
HSS508x19,,,26.67,29300.0,876.0,3450.0,173.0,4560.0,876.0,3450.0,173.0,4560.0,1750000.0,,508.0,,19.05,19.05,
HSS508x13,,,40.0,19800.0,606.0,2390.0,175.0,3120.0,606.0,2390.0,175.0,3120.0,1210000.0,,508.0,,12.7,12.7,
HSS508x9.5,,,53.31,14900.0,464.0,1830.0,176.0,2370.0,464.0,1830.0,176.0,2370.0,927000.0,,508.0,,9.53,9.53,
HSS508x6.4,,,80.0,10000.0,315.0,1240.0,177.0,1600.0,315.0,1240.0,177.0,1600.0,630000.0,,508.0,,6.35,6.35,
HSS457x25,,,18.0,34500.0,806.0,3530.0,153.0,4740.0,806.0,3530.0,153.0,4740.0,1610000.0,,457.2,,25.4,25.4,
HSS457x19,,,24.0,26200.0,630.0,2760.0,155.0,3660.0,630.0,2760.0,155.0,3660.0,1260000.0,,457.2,,19.05,19.05,
HSS457x13,,,36.0,17700.0,438.0,1920.0,157.0,2510.0,438.0,1920.0,157.0,2510.0,877000.0,,457.2,,12.7,12.7,
HSS457x9.5,,,47.97,13400.0,336.0,1470.0,158.0,1910.0,336.0,1470.0,158.0,1910.0,672000.0,,457.2,,9.53,9.53,
HSS457x6.4,,,72.0,8990.0,229.0,1000.0,159.0,1290.0,229.0,1000.0,159.0,1290.0,457000.0,,457.2,,6.35,6.35,
