Designation,Class,ba/t,h/w,Area,Ix,Sx,rx,Zx,Iy,Sy,ry,Zy,J,Cw,d,b,t,w,k
HSS559x559x25,,18.0,18.0,52500.0,2450.0,8770.0,216.0,10400.0,2450.0,8770.0,216.0,10400.0,3940000.0,,558.8,558.8,25.4,25.4,
HSS559x559x22,,21.14,21.14,46400.0,2200.0,7860.0,218.0,9260.0,2200.0,7860.0,218.0,9260.0,3500000.0,,558.8,558.8,22.23,22.23,
HSS559x559x19,,25.33,25.33,40200.0,1930.0,6900.0,219.0,8070.0,1930.0,6900.0,219.0,8070.0,3050000.0,,558.8,558.8,19.05,19.05,
HSS559x559x16,,31.19,31.19,33800.0,1650.0,5890.0,221.0,6840.0,1650.0,5890.0,221.0,6840.0,2580000.0,,558.8,558.8,15.88,15.88,
HSS508x508x25,,16.0,16.0,47400.0,1810.0,7110.0,195.0,8470.0,1810.0,7110.0,195.0,8470.0,2920000.0,,508.0,508.0,25.4,25.4,
HSS508x508x22,,18.85,18.85,41900.0,1620.0,6390.0,197.0,7560.0,1620.0,6390.0,197.0,7560.0,2600000.0,,508.0,508.0,22.23,22.23,
HSS508x508x19,,22.67,22.67,36300.0,1430.0,5620.0,198.0,6600.0,1430.0,5620.0,198.0,6600.0,2270000.0,,508.0,508.0,19.05,19.05,
HSS508x508x16,,27.99,27.99,30600.0,1220.0,4810.0,200.0,5610.0,1220.0,4810.0,200.0,5610.0,1930000.0,,508.0,508.0,15.88,15.88,
HSS508x508x13,,36.0,36.0,24700.0,1000.0,3950.0,201.0,4570.0,1000.0,3950.0,201.0,4570.0,1570000.0,,508.0,508.0,12.7,12.7,
HSS457x457x25,,14.0,14.0,42200.0,1280.0,5620.0,174.0,6740.0,1280.0,5620.0,174.0,6740.0,2100000.0,,457.2,457.2,25.4,25.4,
HSS457x457x22,,16.57,16.57,37400.0,1160.0,5070.0,176.0,6030.0,1160.0,5070.0,176.0,6030.0,1870000.0,,457.2,457.2,22.23,22.23,
HSS457x457x19,,20.0,20.0,32500.0,1020.0,4470.0,178.0,5280.0,1020.0,4470.0,178.0,5280.0,1640000.0,,457.2,457.2,19.05,19.05,
HSS457x457x16,,24.79,24.79,27400.0,878.0,3840.0,179.0,4490.0,878.0,3840.0,179.0,4490.0,1390000.0,,457.2,457.2,15.88,15.88,
HSS457x457x13,,32.0,32.0,22200.0,723.0,3160.0,181.0,3670.0,723.0,3160.0,181.0,3670.0,1130000.0,,457.2,457.2,12.7,12.7,
