Designation,Area_mm2,t_mm,w_mm,b_mm,d_mm,rx_mm,ry_mm
WT460x224.5,28600.0,42.7,24.0,423.0,474.0,137.0,97.2
WT460x210,26700.0,39.9,22.5,422.0,472.0,136.0,96.80000000000001
WT460x195,24700.0,36.6,21.3,420.0,468.0,136.0,95.7
WT460x184,23300.0,34.3,20.3,419.0,466.0,136.0,95.10000000000001
WT460x172,21900.0,32.0,19.3,418.0,464.0,137.0,94.4
WT460x156.5,19900.0,34.5,21.1,309.0,466.0,144.0,65.4
WT460x144.5,18400.0,32.0,19.4,308.0,464.0,143.0,65.2
WT460x135.5,17300.0,30.0,18.4,307.0,462.0,143.0,64.8
WT460x126.5,16100.0,27.9,17.3,306.0,460.0,143.0,64.3
WT460x119,15200.0,25.9,16.5,305.0,458.0,143.0,63.6
WT460x111.5,14300.0,23.9,15.9,304.0,456.0,143.0,62.7
WT460x100.5,12800.0,20.1,15.2,304.0,452.0,144.0,60.7
WT420x179.5,22900.0,35.6,21.1,403.0,434.0,126.0,92.10000000000001
WT420x164.5,21000.0,32.4,19.7,401.0,431.0,126.0,91.10000000000001
WT420x149.5,19100.0,29.2,18.2,400.0,428.0,126.0,90.30000000000001
WT420x113,14400.0,26.8,16.1,294.0,426.0,131.0,62.800000000000004
WT420x105,13400.0,24.4,15.4,293.0,423.0,131.0,61.800000000000004
WT420x96.5,12300.0,21.7,14.7,292.0,420.0,131.0,60.5
WT420x88,11200.0,18.8,14.0,292.0,418.0,132.0,59.1
WT380x157,20100.0,33.4,19.7,384.0,393.0,112.0,88.7
WT380x142,18100.0,30.1,18.0,382.0,390.0,112.0,87.80000000000001
WT380x128.5,16500.0,27.1,16.6,381.0,387.0,112.0,87.10000000000001
WT380x98,12500.0,25.4,15.6,268.0,385.0,118.0,57.1
WT380x92.5,11800.0,23.6,14.9,267.0,383.0,118.0,56.5
WT380x86.5,11100.0,21.6,14.4,267.0,381.0,119.0,55.7
WT380x80.5,10200.0,19.3,13.8,266.0,379.0,119.0,54.5
WT380x73.5,9370.0,17.0,13.2,265.0,377.0,120.0,53.1
WT345x132.5,16800.0,30.2,18.4,358.0,353.0,101.0,82.9
WT345x120,15300.0,27.4,16.8,356.0,351.0,101.0,82.10000000000001
WT345x108.5,13900.0,24.8,15.4,355.0,348.0,101.0,81.7
WT345x85,10800.0,23.6,14.5,256.0,347.0,106.0,55.300000000000004
WT345x76,9690.0,21.1,13.1,254.0,344.0,105.0,54.6
WT345x70,8900.0,18.9,12.4,254.0,342.0,106.0,53.900000000000006
WT345x62.5,8000.0,16.3,11.7,253.0,339.0,106.0,52.5
WT305x120.5,15400.0,31.0,17.9,329.0,318.0,89.2,77.30000000000001
WT305x108.5,13900.0,27.7,16.5,328.0,314.0,88.80000000000001,76.7
WT305x97.5,12500.0,24.4,15.4,327.0,311.0,89.30000000000001,75.60000000000001
WT305x87,11100.0,21.6,14.0,325.0,308.0,89.2,74.7
WT305x77.5,9870.0,19.0,12.7,324.0,306.0,89.4,73.9
WT305x70,8930.0,22.2,13.1,230.0,309.0,93.30000000000001,50.300000000000004
WT305x62.5,7970.0,19.6,11.9,229.0,306.0,93.10000000000001,49.7
WT305x56.5,7220.0,17.3,11.2,228.0,304.0,93.5,48.7
WT305x50.5,6480.0,14.9,10.5,228.0,302.0,94.10000000000001,47.7
WT305x46,5880.0,15.0,10.9,179.0,302.0,96.5,35.0
WT305x41,5220.0,12.8,10.0,178.0,300.0,96.60000000000001,34.0
WT265x109.5,13900.0,29.2,18.3,318.0,280.0,78.10000000000001,75.0
WT265x98,12500.0,26.3,16.5,316.0,277.0,77.5,74.4
WT265x91,11600.0,24.4,15.2,315.0,276.0,77.30000000000001,74.10000000000001
WT265x82.5,10500.0,22.2,14.0,313.0,273.0,76.9,73.4
WT265x75,9600.0,20.3,12.7,312.0,272.0,76.7,73.2
WT265x69,8820.0,23.6,14.7,214.0,275.0,82.60000000000001,46.800000000000004
WT265x61.5,7850.0,21.2,13.1,212.0,272.0,81.9,46.400000000000006
WT265x54.5,6950.0,18.8,11.6,211.0,270.0,81.5,46.1
WT265x50.5,6470.0,17.4,10.9,210.0,269.0,81.60000000000001,45.6
WT265x46,5890.0,15.6,10.2,209.0,267.0,81.7,44.900000000000006
WT265x41,5230.0,13.3,9.5,209.0,264.0,81.9,44.0
WT265x42.5,5400.0,16.5,10.3,166.0,268.0,83.7,34.2
WT265x37,4770.0,13.6,9.7,166.0,265.0,84.10000000000001,33.1
WT265x33,4190.0,11.4,8.9,165.0,263.0,84.30000000000001,32.0
WT230x88.5,11300.0,26.9,16.6,286.0,241.0,66.10000000000001,68.2
WT230x79,10000.0,23.9,15.0,284.0,238.0,65.8,67.4
WT230x72,9210.0,22.1,13.6,283.0,236.0,65.10000000000001,67.4
WT230x64,8190.0,19.6,12.2,282.0,234.0,64.9,66.9
WT230x56.5,7210.0,17.3,10.8,280.0,232.0,64.7,66.3
WT230x53,6740.0,20.6,12.6,194.0,235.0,69.8,43.2
WT230x48.5,6150.0,19.0,11.4,193.0,233.0,69.10000000000001,43.1
WT230x44.5,5690.0,17.7,10.5,192.0,232.0,68.8,42.900000000000006
WT230x41,5220.0,16.0,9.9,191.0,230.0,68.9,42.2
WT230x37,4730.0,14.5,9.0,190.0,229.0,68.8,41.900000000000006
WT230x34,4370.0,15.4,9.1,154.0,230.0,70.60000000000001,32.800000000000004
WT230x30,3800.0,13.3,8.0,153.0,228.0,70.4,32.4
WT230x26,3310.0,10.8,7.6,152.0,225.0,71.0,30.900000000000002
WT205x74.5,9510.0,25.0,14.9,265.0,216.0,58.2,63.900000000000006
WT205x66,8420.0,22.2,13.3,263.0,213.0,57.7,63.300000000000004
WT205x57,7290.0,19.3,11.6,261.0,210.0,57.2,62.7
