Section,Outside Diameter (mm),Wall Thickness (mm),Mass (kg/m),Dead Load (kN/m),Area (mmý),I (10? mm?),S (10? mm?),r (mm),Z (10? mm?),Torsional Constant (10ý mm?),Surface Area (mý/m)
HSS 406x13,406.4,12.7,123,1.21,15700,305,1500,130,1970,608000,1.28
HSS 406x8.5,406.4,9.53,93.3,0.913,11900,234,1150,140,1500,468000,1.28
HSS 406x8.4,406.4,6.35,62.8,0.615,7990,160,766,141,1020,319000,1.28
HSS 356x13,355.6,12.76,157,1.55,19400,455,873,122,1140,310000,1.12
HSS 356x8.5,355.6,9.53,91.3,0.919,10430,195,686,123,775,213000,1.12
HSS 324x13,323.9,12.76,97.5,0.956,12400,151,930,110,1230,301000,1.02
HSS 324x8.5,323.9,9.53,73.9,0.725,8410,118,718,111,942,233000,1.02
HSS 324x8.4,323.9,6.35,49.7,0.488,6330,79.9,483,112,640,160000,1.02
HSS 275x13,273.1,12.76,81.6,0.8,10400,88.3,546,92.2,862,177000,0.858
HSS 275x8.5,273.1,9.53,61.9,0.606,7890,84.6,502,93.2,862,137000,0.858
HSS 275x8.4,273.1,6.35,51.9,0.509,6810,58.2,426,93.8,566,116000,0.858
HSS 275x8.3,273.1,4.76,31.6,0.31,4030,34.3,347,94.3,452,94700,0.858
HSS 246x8.5,244.5,9.53,55.2,0.542,7030,48.6,368,83.1,528,87300,0.768
HSS 246x8.4,244.5,6.35,37.3,0.366,4750,33.7,276,84.2,380,67400,0.768
HSS 219x13,219.1,12.76,64.6,0.634,8230,44,402,73.1,542,89000,0.868
HSS 219x8.5,219.1,9.53,59.3,0.583,6270,34.5,315,74.2,419,69000,0.868
HSS 219x8.4,219.1,6.35,33.3,0.327,4240,24,219,75.3,288,48100,0.868
HSS 219x8.3,219.1,4.76,25.3,0.246,3220,19.5,168,75.8,220,37000,0.868
HSS 178x13,177.6,12.76,51.7,0.567,6990,22.4,254,58.5,347,45200,0.559
HSS 178x8.5,177.6,9.53,39.5,0.386,5040,17.9,201,58.6,270,35600,0.559
HSS 168x13,168.3,12.76,46.7,0.476,6210,18.9,225,55.2,306,37800,0.529
HSS 168x8.5,168.3,9.53,37.3,0.346,4750,15,179,56.2,241,30100,0.529
HSS 168x8.4,168.3,6.35,25.4,0.249,3230,10.6,126,57.3,167,21200,0.529
HSS 168x8.3,168.3,4.76,19.3,0.149,2460,9.1,97.6,57.8,129,16400,0.529
HSS 141x13,141.3,12.76,40.3,0.395,5130,10.7,152,45.7,211,21400,0.444
HSS 141x8.5,141.3,9.53,31,0.304,3900,8.61,122,46.7,166,17200,0.444
HSS 141x8.4,141.3,6.35,21.1,0.257,2880,9.14,85.9,47.8,116,12300,0.444
HSS 127x9.5,127,9.53,27.6,0.271,3520,6.11,96.2,41.7,132,12200,0.399
HSS 127x6.4,127,6.35,18.9,0.185,2410,4.39,69.2,42.7,92.5,8780,0.399
HSS 89x6.4,88.9,6.35,12.9,0.127,1650,1.41,31.7,29.3,43.4,2820,0.279
HSS 89x3.2,88.9,3.18,9.82,0.067,1260,1.12,25.2,23.8,33.9,2240,0.279
HSS 76x6.4,76.2,6.35,10.9,0.107,1390,0.857,22.5,24.8,31.1,1710,0.239
HSS 76x3.2,76.2,3.18,8.42,0.053,1070,0.687,18,25.3,24.4,1370,0.239
HSS 73x6.4,73,6.35,10.4,0.102,1330,0.745,20.4,23.7,28.3,1490,0.229
HSS 73x3.2,73,3.18,8.04,0.054,1020,0.599,16.4,24.2,22.3,1200,0.229
HSS 64x6.4,63.5,6.35,8.95,0.088,1140,0.471,14.8,20.3,20.8,942,0.199
HSS 64x3.2,63.5,3.18,6.02,0.046,882,0.363,12,20.8,16.5,765,0.199
HSS 60x6.4,60.3,6.35,8.45,0.083,1080,0.397,13.2,19.2,18.6,794,0.189
HSS 60x3.2,60.3,3.18,6.04,0.034,834,0.324,10.7,14.8,14.8,647,0.189
HSS 48x6.4,48.3,4.78,5.13,0.05,654,0.157,6.48,15.5,9.09,313,0.152
HSS 48x3.2,48.3,3.18,3.54,0.035,451,0.115,16,9.09,6.48,231,0.152
