Section,Outside Dimension (mm),Wall Thickness (mm),Mass (kg/m),Dead Load (kN/m),Area (mmý),I (10? mm?),S (10? mm?),r (mm),Z (10? mm?),Torsional Constant (10? mm?),Surface Area (mý/m)
HSS 559x559x19*,558.8,19.05,316,3.1,40200,1930,6900,219,8070,3050000,2.17
HSS 508x508x22*,508,22.23,329,3.23,41900,1620,6390,197,7560,2600000,1.96
HSS 508x508x19*,508,19.05,285,2.8,36300,1430,5620,198,6600,2270000,1.97
HSS 508x508x16*,508,15.88,240,2.36,30600,1220,4810,200,5610,1930000,1.98
HSS 508x508x13*,508,12.7,194,1.91,24700,1000,3950,201,4570,1570000,1.99
HSS 457x457x22*,457.2,22.23,294,2.88,37400,1160,5070,176,6030,1870000,1.75
HSS 457x457x19*,457.2,19.05,255,2.5,32500,1020,4470,178,5280,1640000,1.76
HSS 457x457x16*,457.2,15.88,215,2.11,27400,878,3840,179,4490,1390000,1.77
HSS 457x457x13*,457.2,12.7,174,1.71,22200,723,3160,181,3670,1130000,1.79
HSS 406x406x22*,406.4,22.23,258,2.53,32900,793,3900,155,4670,1290000,1.55
HSS 406x406x19*,406.4,19.05,224,2.2,28600,703,3460,157,4100,1130000,1.56
HSS 406x406x16*,406.4,15.88,190,1.86,24200,606,2980,158,3500,965000,1.57
HSS 406x406x13*,406.4,12.7,154,1.51,19600,500,2460,160,2870,788000,1.58
HSS 406x406x9.5*,406.4,9.53,117,1.15,14900,388,1910,161,2200,604000,1.59
HSS 356x356x16*,355.6,15.88,164,1.61,20900,396,2230,138,2640,637000,1.37
HSS 356x356x13*,355.6,12.7,133,1.31,17000,329,1850,139,2170,522000,1.38
HSS 356x356x9.5*,355.6,9.53,102,0.998,13000,256,1440,141,1670,401000,1.39
HSS 356x356x7.9*,355.6,7.94,85.4,0.838,10900,218,1220,141,1410,338000,1.4
HSS 305x305x16*,304.8,15.88,139,1.36,17700,242,1590,117,1890,392000,1.16
HSS 305x305x13*,304.8,12.7,113,1.11,14400,202,1330,118,1560,323000,1.18
HSS 305x305x9.5*,304.8,9.53,86.5,0.849,11000,158,1040,120,1210,250000,1.19
HSS 305x305x7.9*,304.8,7.94,72.7,0.714,9270,135,885,121,1030,211000,1.19
HSS 305x305x6.4*,304.8,6.35,58.7,0.576,7480,110,723,121,833,171000,1.2
HSS 254x254x16*,254,15.88,114,1.11,14500,134,1050,96.1,1270,220000,0.961
HSS 254x254x13*,254,12.7,93,0.912,11800,113,889,97.6,1060,183000,0.972
HSS 254x254x9.5*,254,9.53,71.3,0.7,9090,89.3,703,99.1,825,142000,0.983
