# Structural Tees Cut from W Shapes - CISC Handbook of Steel Construction 11th Edition
"# Properties (Ix,Iy in 10^6 mm^4; Sx,Sy in 10^3 mm^3; J in 10^3 mm^4; Cw in 10^9 mm^6)"
"# Dimensions (d,b,t,w,beta_x,y0,r0bar in mm); Omega is dimensionless"
Designation,Dead_Load_kN_per_m,Area_mm2,Ix_10e6_mm4,Sx_10e3_mm3,rx_mm,y_mm,Iy_10e6_mm4,Sy_10e3_mm3,ry_mm,J_10e3_mm4,Cw_10e9_mm6,d_mm,b_mm,t_mm,w_mm,beta_x_mm,y0_mm,r0bar_mm,Omega
WT460x224.5,2.2,28800,533,1450,137,107,270,1280,97.2,13100,76.5,474,423,42.7,24.0,310,86.0,188,0.792
WT460x210,2.06,26800,497,1360,136,106,250,1190,96.8,10700,62.4,472,422,39.9,22.5,310,86.0,188,0.791
WT460x195,1.9,24800,460,1270,136,105,226,1080,95.7,8440,49.6,468,420,36.6,21.3,309,87.1,188,0.785
WT460x184,1.79,23400,434,1200,136,105,211,1010,95.1,7020,41.6,466,419,34.3,20.3,309,87.8,188,0.782
WT460x172,1.68,22000,408,1140,137,105,195,933,94.4,5780,34.6,464,418,32.0,19.3,309,88.6,188,0.778
WT460x156.5,1.53,20000,410,1200,144,124,85.2,551,65.4,5750,32.0,466,309,34.5,21.1,334,107,190,0.686
WT460x144.5,1.41,18400,376,1100,143,122,78.2,508,65.2,4570,24.9,464,308,32.0,19.4,334,106,190,0.688
WT460x135.5,1.33,17300,353,1040,143,121,72.6,473,64.8,3810,20.9,462,307,30.0,18.4,333,106,190,0.685
WT460x126.5,1.24,16200,329,969,143,121,66.8,437,64.3,3100,17.1,460,306,27.9,17.3,333,107,189,0.683
WT460x119,1.17,15200,309,916,143,121,61.4,403,63.6,2540,14.4,458,305,25.9,16.5,333,108,190,0.678
WT460x111.5,1.1,14200,292,874,143,122,56.1,369,62.7,2080,12.4,456,304,23.9,15.9,333,110,191,0.669
WT460x100.5,0.986,12800,265,814,144,126,47.2,311,60.7,1430,10.0,452,304,20.1,15.2,335,116,195,0.645
WT420x179.5,1.76,22800,363,1080,126,97.5,195,965,92.1,7530,39.3,434,403,35.6,21.1,282,79.7,175,0.793
WT420x164.5,1.62,21000,333,997,126,96.9,174,870,91.1,5780,30.4,431,401,32.4,19.7,282,80.7,175,0.788
WT420x149.5,1.47,19000,303,912,126,96.1,156,780,90.3,4320,22.9,428,400,29.2,18.2,282,81.5,175,0.783
WT420x113,1.11,14400,247,778,131,108,56.9,387,62.8,2560,11.5,426,294,26.8,16.1,305,95.0,173,0.7
WT420x105,1.03,13400,230,733,131,109,51.3,350,61.8,2020,9.57,423,293,24.4,15.4,305,96.9,174,0.691
WT420x96.5,0.949,12400,213,688,131,111,45.1,309,60.5,1520,7.81,420,292,21.7,14.7,305,99.9,176,0.677
WT420x88,0.863,11200,196,646,132,114,39.1,268,59.1,1100,6.35,418,292,18.8,14.0,307,104,179,0.659
WT380x157,1.55,20000,254,828,112,86.2,158,822,88.7,5900,26.0,393,384,33.4,19.7,250,69.5,159,0.809
WT380x142,1.4,18100,229,750,112,84.8,140,733,87.8,4360,19.1,390,382,30.1,18.0,250,69.8,159,0.807
WT380x128.5,1.27,16400,207,684,112,83.9,125,657,87.1,3250,14.3,387,381,27.1,16.6,249,70.4,159,0.803
WT380x98,0.965,12600,175,613,118,99.0,40.9,305,57.1,2020,7.63,385,268,25.4,15.6,275,86.3,157,0.698
WT380x92.5,0.906,11800,165,580,118,99.1,37.5,281,56.5,1660,6.44,383,267,23.6,14.9,275,87.3,157,0.693
WT380x86.5,0.851,11000,156,554,119,100,34.4,257,55.7,1340,5.54,381,267,21.6,14.4,275,89.3,159,0.683
WT380x80.5,0.786,10200,145,523,119,102,30.4,228,54.5,1030,4.62,379,266,19.3,13.8,276,92.2,160,0.669
WT380x73.5,0.722,9400,134,493,120,104,26.4,200,53.1,778,3.83,377,265,17.0,13.2,277,95.7,162,0.652
WT345x132.5,1.3,16800,172,624,101,77.2,116,646,82.7,4160,15.5,353,358,30.2,18.4,222,62.1,144,0.815
WT345x120,1.18,15300,156,567,101,76.0,103,580,82.0,3130,11.5,351,356,27.4,16.8,222,62.3,144,0.813
WT345x108.5,1.07,13800,140,514,100,74.7,92.6,522,81.5,2350,8.57,348,355,24.8,15.4,221,62.3,143,0.812
WT345x85,0.834,10800,121,465,106,87.1,33.1,259,55.3,1520,4.72,347,256,23.6,14.5,245,75.3,141,0.715
WT345x76,0.746,9700,107,415,105,85.8,28.9,227,54.6,1100,3.38,344,254,21.1,13.1,244,75.3,140,0.713
WT345x70,0.685,8950,99.3,389,106,86.5,25.9,204,53.9,831,2.72,342,254,18.9,12.4,244,77.1,141,0.703
WT345x62.5,0.616,8000,89.9,359,106,88.3,22.0,174,52.5,584,2.1,339,253,16.3,11.7,244,80.2,143,0.685
WT305x120.5,1.19,15400,123,491,89.2,68.6,92.1,560,77.3,3840,11.8,318,329,31.0,17.9,195,53.1,129,0.832
WT305x108.5,1.07,13800,110,444,88.8,67.4,81.6,497,76.7,2790,8.58,314,328,27.7,16.5,194,53.5,129,0.828
WT305x97.5,0.959,12400,99.4,408,89.3,67.4,71.2,435,75.6,1980,6.23,311,327,24.4,15.4,193,55.2,129,0.818
WT305x87,0.854,11100,88.3,366,89.2,66.5,61.9,381,74.7,1400,4.4,308,325,21.6,14.0,193,55.7,129,0.813
WT305x77.5,0.76,9850,78.9,329,89.4,66.1,53.9,333,73.9,975,3.1,306,324,19.0,12.7,193,56.6,129,0.808
WT305x70,0.688,8950,77.8,334,93.3,76.2,22.6,196,50.3,1090,2.58,309,230,22.2,13.1,216,65.1,124,0.726
WT305x62.5,0.613,7950,69.0,299,93.1,75.4,19.7,172,49.7,769,1.84,306,229,19.6,11.9,215,65.6,124,0.721
WT305x56.5,0.556,7250,63.2,278,93.5,76.3,17.1,150,48.7,559,1.43,304,228,17.3,11.2,216,67.7,125,0.708
WT305x50.5,0.499,6500,57.4,256,94.1,77.8,14.7,129,47.7,389,1.09,302,228,14.9,10.5,216,70.3,127,0.692
WT305x46,0.453,5850,54.8,256,96.5,87.9,7.2,80.5,35.0,354,1.05,302,179,15.0,10.9,227,80.4,130,0.62
WT305x41,0.402,5250,48.7,231,96.6,89.1,6.04,67.9,34.0,243,0.785,300,178,12.8,10.0,228,82.7,132,0.606
WT265x109.5,1.07,14000,85.0,388,78.1,60.8,78.4,493,75.0,3200,8.74,280,318,29.2,18.3,163,46.2,118,0.846
WT265x98,0.964,12500,75.2,345,77.5,59.0,69.3,438,74.4,2340,6.28,277,316,26.3,16.5,163,45.9,117,0.846
WT265x91,0.891,11600,69.3,317,77.3,57.9,63.6,404,74.1,1860,4.94,276,315,24.4,15.2,163,45.7,116,0.846
WT265x82.5,0.811,10600,62.2,288,76.9,56.7,56.8,363,73.4,1410,3.7,273,313,22.2,14.0,162,45.6,116,0.845
WT265x75,0.739,9600,56.5,261,76.7,55.5,51.4,330,73.2,1080,2.79,272,312,20.3,12.7,162,45.4,115,0.845
WT265x69,0.679,8800,60.2,293,82.6,69.6,19.3,181,46.8,1250,2.5,275,214,23.6,14.7,189,57.8,111,0.73
WT265x61.5,0.604,7850,52.6,258,81.9,67.6,16.9,159,46.4,899,1.75,272,212,21.2,13.1,188,57.0,110,0.731
WT265x54.5,0.535,6950,46.2,227,81.5,66.1,14.8,140,46.1,630,1.2,270,211,18.8,11.6,188,56.7,109,0.732
WT265x50.5,0.498,6450,43.0,212,81.6,65.9,13.5,128,45.6,507,0.973,269,210,17.4,10.9,188,57.2,110,0.728
WT265x46,0.454,5900,39.3,196,81.7,66.0,11.9,114,44.9,380,0.754,267,209,15.6,10.2,188,58.2,110,0.719
WT265x41,0.403,5250,35.0,178,81.9,66.9,10.1,97.0,44.0,258,0.555,264,209,13.3,9.5,187,60.2,111,0.704
WT265x42.5,0.416,5400,37.8,194,83.7,72.7,6.32,76.1,34.2,367,0.675,268,166,16.5,10.3,197,64.4,111,0.663
WT265x37,0.367,4740,33.7,177,84.1,74.7,5.21,62.7,33.1,239,0.516,265,166,13.6,9.7,197,67.9,113,0.639
WT265x33,0.323,4200,29.8,159,84.3,76.1,4.29,52.0,32.0,159,0.38,263,165,11.4,8.9,198,70.4,114,0.621
WT230x88.5,0.869,11300,49.4,260,66.1,51.4,52.5,367,68.2,2190,4.66,241,286,26.9,16.6,135,38.0,102,0.862
WT230x79,0.773,10000,43.5,231,65.8,50.1,45.7,322,67.4,1550,3.25,238,284,23.9,15.0,135,38.1,102,0.859
WT230x72,0.709,9200,39.0,208,65.1,48.4,41.8,295,67.4,1220,2.49,236,283,22.1,13.6,134,37.3,101,0.863
WT230x64,0.63,8150,34.5,185,64.9,47.2,36.7,260,66.9,855,1.74,234,282,19.6,12.2,134,37.4,100,0.861
WT230x56.5,0.555,7200,30.2,162,64.7,46.0,31.7,226,66.3,589,1.18,232,280,17.3,10.8,134,37.4,99.9,0.86
WT230x53,0.519,6700,32.8,185,69.8,57.5,12.6,130,43.2,725,1.07,235,194,20.6,12.6,158,47.2,94.6,0.752
WT230x48.5,0.473,6150,29.4,166,69.1,55.8,11.4,118,43.1,562,0.802,233,193,19.0,11.4,158,46.3,93.7,0.756
WT230x44.5,0.438,5700,27.0,152,68.8,54.8,10.5,109,42.9,452,0.63,232,192,17.7,10.5,157,45.9,93.2,0.757
WT230x41,0.402,5250,24.8,141,68.9,54.8,9.31,97.5,42.2,344,0.493,230,191,16.0,9.9,157,46.8,93.4,0.749
WT230x37,0.364,4740,22.4,128,68.8,54.1,8.3,87.4,41.9,257,0.366,229,190,14.5,9.0,157,46.8,93.2,0.747
