province,location,elev_m,jan_2_5_C,jan_1_C,jul_2_5_dry_C,jul_2_5_wet_C,degree_days_below_18,rain_15min_mm,one_day_rain_1_50_mm,annual_rain_mm,moisture_index,ann_total_ppn_mm,driving_rain_pressure_Pa,Ss_kPa,Sr_kPa,q_1_10_kPa,q_1_50_kPa,name_ok
British Columbia,100 Mile House,1040,-30,-32,29,17,5030,10,48,300,0.4,425,60,2.6,0.3,0.27,0.35,True
British Columbia,Abbotsford,70,-8,-10,29,20,2860,12,112,1525,1.6,1600,160,2.0,0.3,0.33,0.44,True
British Columbia,Agassiz,15,-9,-11,31,21,2750,8,128,1650,1.7,1700,160,2.4,0.7,0.35,0.47,True
British Columbia,Alberni,12,-5,-8,31,19,3100,10,144,1900,2.0,2000,220,2.6,0.4,0.24,0.32,True
British Columbia,Ashcroft,305,-24,-27,34,20,3700,10,37,250,0.3,300,80,1.7,0.1,0.29,0.38,True
British Columbia,Bamfield,20,-2,-4,23,17,3080,13,170,2870,3.0,2890,280,1.0,0.4,0.38,0.5,True
British Columbia,Beatton River,840,-37,-39,26,18,6300,15,64,330,0.5,450,80,3.3,0.1,0.23,0.3,True
British Columbia,Bella Bella,25,-5,-7,23,18,3180,13,145,2715,2.8,2800,350,2.6,0.8,0.4,0.5,True
British Columbia,Bella Coola,40,-14,-18,27,19,3560,10,140,1500,1.9,1700,350,4.5,0.8,0.29,0.39,True
British Columbia,Burns Lake,755,-31,-34,26,17,5450,12,54,300,0.6,450,100,3.4,0.2,0.29,0.39,True
British Columbia,Cache Creek,455,-24,-27,34,20,3700,10,37,250,0.3,300,80,1.7,0.2,0.29,0.39,True
British Columbia,Campbell River,20,-5,-7,26,18,3000,10,116,1500,1.6,1600,260,2.8,0.4,0.41,0.48,True
British Columbia,Carmi,845,-24,-26,31,19,4750,10,64,325,0.4,550,60,3.6,0.2,0.29,0.38,True
British Columbia,Castlegar,430,-18,-20,32,20,3580,10,54,560,0.6,700,60,4.2,0.1,0.26,0.34,True
British Columbia,Chetwynd,605,-35,-38,27,18,5500,15,70,400,0.6,625,60,2.4,0.2,0.3,0.4,True
British Columbia,Chilliwack,10,-9,-11,30,20,2780,8,139,1625,1.7,1700,160,2.2,0.3,0.35,0.47,True
British Columbia,Comox,15,-7,-9,27,18,2930,10,106,1175,1.3,1200,260,2.4,0.4,0.41,0.48,True
British Columbia,Courtenay,10,-7,-9,28,18,2930,10,106,1400,1.5,1450,260,2.4,0.4,0.41,0.48,True
British Columbia,Cranbrook,910,-26,-28,32,18,4400,12,59,275,0.3,400,100,3.0,0.2,0.25,0.33,True
